Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1,排除AST标准化前,排除AST标准化后,排除CM标准化前,排除CM标准化后,排除weight标准化前,排除weight标准化后,排除pdg标准化前,排除pdg标准化后
baba9aec75cc37e01e1881b80869d1097cbfb9c2,1,41.18511304,318.0329401,20.47095271,,,36.571,19.388,12.132,3.589,,10,0,1,,,,,,,,
c0cbba6d9912f658589c88d0037fe83620fc53c2,0.5,0.06,0,16.75853996,,,36.472,19.263,12.455,3.264,,11,0,1,,,,,,,,
85037c981f1cb72d079f141e1b4029eae2584611,2,255.5990188,19479.3231,103.25116,,,171.363,18.942,116.333,29.522,,131,26.85,0,,,,,,,,
3a320a18f118974c4157c41fd65b1ad7140343af,1,0.2,0,0,,,35.409,18.617,11.982,3.27,,4,1.01,0,,,,,,,,
6b2c131799a5a4f7dbf2e8bb6039c1808c082fbb,4,2684.05667,39352.58669,49.84302533,,,38.393,18.781,14.396,3.58,,37,4.811,0,,,,,,,,
ac7201b653c5cd24f11d4672a27367cdc9b88d3b,3,84.55328653,17043.98042,20.27673714,,,39.044,19.049,14.212,3.607,,7,9.11,0,,,,,,,,
b2a853e855bbffa9157ffdb601950c2209122bad,1,13.91064125,112.1127764,10.1529397,,,43.154,18.705,18.345,4.361,,4,4.01,0,,,,,,,,
0e3dd0c37ec33a8c6861bcd6568d6935fd455f7f,2,7.55286106,1362.101592,20.71491292,,,52.738,18.865,25.25,6.625,,16,10.044,0,,,,,,,,
f5ca032c350ba1e344110963e8d61e3d1b3d2cb3,10,1062.274295,54997.32905,94.3579267,,,65.33,19.011,34.97,8.103,,284,0,1,,,,,,,,
a86ab475882b8e74f9439f8555668767c2113453,2,1.207,117.1473808,220.4865439,,,133.038,18.895,86.133,22.746,,53,0.48,1,,,,,,,,
8298f2b4b606e119ed7bd8e651e17163ba9cd169,6,37.38820658,1133.15696,23.88035029,,,56.493,19.249,27.889,7.211,,27,48,0,,,,,,,,
01506527ed6b82a1bac6a09607aaada93ddbb1f9,2,267.852147,565.5363096,30.72091149,,,73.567,18.838,40.706,10.586,,96,6,1,,,,,,,,
9567483b496dc704203c6ecd4f531640743a74f1,1,0.101,0,0,,,67.089,18.878,35.822,9.863,,27,0,1,,,,,,,,
99f0034b03939c6b8d8a88581bc45a94f025dec1,18,3771.177679,32199.53092,1089.050173,,,216.641,18.866,151.233,39.362,,1229,24.51666667,1,,,,,,,,
6d9fcdde8cf2690428f344fc7b7051733fe4d12b,1,117.5766557,0,8.850337197,,,38.111,18.622,13.715,3.667,,27,0,1,,,,,,,,
fae1584e54fdfe07ce86e381ba9e551c7922aa8c,4,1252.476129,794.1124978,12.55156552,,,36.266,18.737,12.632,3.35,,20,15.92,0,,,,,,,,
4341ea8e82bb6974d2d472499d36a888ab62144e,3,79.9687668,2447.458999,15.24248202,,,36.556,18.881,12.652,3.425,,32,2.19,0,,,,,,,,
58a1bdec34ba5ee203d6357cdfd558b3216887ea,5,127.4868928,1611.033783,24.61299738,,,67.415,18.892,37.451,8.631,,24,32.681,0,,,,,,,,
c77ea1b357dc4d63189be9bbc1466dfed67d6505,1,0.323,13.27310679,10.06142334,,,48.124,18.991,22.266,4.802,,3,0.01,0,,,,,,,,
b7337789ccd5b01f9d63682627ef4c91e52111e1,2,8585.619013,76281.78082,764.1021974,,,51.587,18.629,22.464,4.813,,1114,0,1,,,,,,,,
9eff1c013a1a970637242e2a948ef813013d5c73,3,35.66970301,336.2821134,10.09847872,,,44.56,18.919,18.929,4.986,,9,6.41,0,,,,,,,,
b2a27ab6a9b40e4fb7ceef8605dc06918243af87,3,67.13057762,2953.682352,12.81140671,,,37.539,18.586,13.335,3.497,,36,0,0,,,,,,,,
a207fb346d09bb2ef96b426566f5e3175d682f93,1,4.285127284,493.2248189,12.02423174,,,37.44,19.134,13.192,3.516,,6,1.1,0,,,,,,,,
f2224b5611baf66ec99c72817b22ed4a3261f3d0,2,9.66544948,1104.065139,13.03078621,,,36.182,18.914,12.316,3.405,,4,2.2,0,,,,,,,,
259d3770ddac879e7a00d376fcbf1b6e0fa9fdc7,1,14.94931021,1196.333882,18.58409968,,,37.799,18.689,13.464,3.546,,103,7.01,0,,,,,,,,
9959e84b4dc4c04851ab34ad6f18e3855a47fc2b,1,6.740863961,2775.358236,64.52551392,,,42.314,19.272,15.617,3.817,,51,4.43,0,,,,,,,,
82505eee8b505ed188436dbc6482be282e8960a2,1,1.741449107,567.3757875,13.4723139,,,38.663,18.78,13.526,3.634,,5,0.55,0,,,,,,,,
1983524ead2b0d75fa44272e777fc4d0a2cdc509,0,24.98153125,1719.058984,31.93977212,,,41.827,19.489,16.57,3.983,,8,1.65,0,,,,,,,,
52184e181383480a74fc6fa09eefbde9563aaa22,3,20.89759711,1208.195959,22.02813073,,,37.866,18.924,13.31,3.562,,20,6.432506173,0,,,,,,,,
64e372b026dd6a8b6cd07013c2264d8eaee3ff3b,1,61.45724517,5452.66496,35.93037752,,,38.108,18.874,13.36,3.632,,43,0,1,,,,,,,,
14dc11b5db8b858723cdd6e4abf7e44b06396630,4,1238.902859,68481.54353,94.26966514,,,38.501,18.688,14.232,3.743,,129,0,1,,,,,,,,
1efd4de1977ab38d00067ad01baab0408a37db23,1,9.552174294,0,80.31062971,,,40.447,18.828,16.109,3.9,,180,0,1,,,,,,,,
