Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
be8dece67fc5eb602e9f62db3d47935886e8f993,4,1.913,0,0,,,112.51,1.237,83.29,21.531,,28,0,1
6f6a4a2e55e0aac36414ab2e14397703f1c4cbc6,11,12943.45948,344872.8224,781.722113,,,45.111,1.222,33.153,8.033,,204,0,1
42350eed591d195df858116161e0f1114716e46d,12,257.3021899,3000.927589,148.2525288,,,48.113,1.234,36.026,8.394,,74,150.8,0
3573bac40091bd598570cccbe2701ad7a7c64744,2,261.5720842,0,38.14817786,,,27.583,1.212,19.358,5.451,,116,0,1
ae9ec8c0236051d053793cd48388056423f738d6,3,7.175195649,39.02410119,11.04519545,,,21.056,1.217,14.164,3.752,,7,0,1
003c0cd598836a78839ab9c6b001c1a394c97ccb,6,65.65313602,0,9.517407858,,,25.097,1.335,18.032,4.226,,10,18.26,0
146c967dd4c56e7a5234e03e9aff16a694f335ac,14,1469.046034,419.5495403,94.13664062,,,48.399,1.262,35.755,8.442,,89,0,1
6d2297fbee986a0209f60d861033156b72d82dbf,2,31.28536541,0,19.1209142,,,25.541,1.23,18.409,4.378,,8,4.26,0
dcfa0f2974abd7cbf50be745f3197f0b977a7e07,2,29.82863384,0,11.50240382,,,26.054,1.23,18.745,4.446,,3,16,0
c1e18d58090cc9e779724a41f4e01b88ad6b2114,23,776.2833981,1496.720199,81.35387645,,,77.023,1.263,58.818,13.756,,128,51.3,1
399fd2ccdc2ab95fef7a58930e5912c24180f6e6,15,542.4886116,0,44.3427106,,,43.433,1.251,32.204,7.563,,50,19.62,1
36ff4dd90d1a61018ec3efccdbfef4a5eee3a979,30,1184.140769,10290.07785,215.141796,,,61.233,1.245,45.547,11.412,,273,0,1
8eabc124697436f7ec0b342c6a4f2f22aaafb4f9,2,44.98940268,0,9.500764539,,,27.303,1.315,20.144,4.297,,7,0,1
d5e999044d3572912d4e730b7d54293e39ea88fb,1,25.10924355,0,90.97717518,,,25.864,1.358,18.777,4.161,,40,0,1
8af2bb405b1ec604668606210f6a285fc7802134,6,533.20962,21785.36355,746.2795298,,,654.462,1.248,498.939,126.685,,640,108.8770343,0
f5854600e056acde8d21538addc9cbfe5b60f6ae,2,33.7622557,476.8235328,11.718289,,,37.874,1.266,27.473,7.056,,11,0,1
77df5fb391f38e38310385766d8345dc5b89fc4c,5,61.36605915,0,19.81931986,,,24.964,1.205,17.985,4.247,,17,0,1
