Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
353771a4bfc561fde6da57d9d7c070b3727c7259,1,16.27677979,1129.220949,11.83628844,,,30.121,8.197,16.514,3.927,,4,3.211,0
af54c01799ebf3ed613bfd9cc9e4934676b245fd,1,4.151819837,904.2497496,35.74535255,,,31.698,8.175,17.261,4.533,,12,2.442,0
480802dcb6fcf351a33dc6f64c9cb5b11e8058be,1,9.489901007,1247.727099,111.5656999,,,50.777,8.256,32.631,7.699,,36,6.399,0
c67275279176504a6f5fc556cfa247e1df02a580,0,3.501295415,8940.832328,49.38859812,,,777.111,8.753,587.451,157.545,,1856,2.8,1
ef1309b0975a102abcb1d7e351b1ec2438173d2c,0,1.919,0,0,,,28.917,8.303,15.322,3.755,,4,0,1
1a11c86d750788d512a4c6e5025127e438185fcf,1,1.068285051,0.63443096,9.713518329,,,29.724,8.752,15.321,3.803,,3,1,0
fd66015d8e2e5bbc763c74fe4e8245cba37c01dd,1,1.961501941,7.104665334,10.96810093,,,27.381,9.203,13.06,3.484,,6,2,0
f91ba7058dc9d733d7f8177df88b2f44144be72e,1,0.333,24.90510404,25.50890623,,,31.51,8.257,17.461,4.153,,9,0.03,0
a6f9d7bb96045fdb361d12b91095fd55be261080,2,32.66634674,54.98442009,10.28690162,,,30.648,8.614,16.414,4.069,,24,2,0
47c2a289ecedcdb532a7f393019e3e7f9621499d,1,1.464522451,83.30242038,10.1980731,,,27.787,8.377,13.818,3.603,,4,1.23,0
bf19d994c6414de253734f69a769e419758e43b0,1,13.79951963,12.04847203,86.94021403,,,80.302,8.132,54.516,14.134,,36,8,1
a3e2d6b14257122a891d84459f927e2417cc8c88,1,56.1560532,627.1899533,11.81705514,,,171.639,8.23,124.468,31.988,,11,22,0
02aba6c78d451376053478e4d627ba6f2fd6ba21,1,1.815,169.8240446,147.7820014,,,212.629,8.226,154.986,39.814,,72,7.16,1
24adba8713785abcc3cbcf40a229432d53b4b521,1,5.655729939,287.5471161,21.77141822,,,44.997,8.303,27.556,6.977,,6,0.04,0
f79e8335ebd430d7b7a992d938ca16225061cdba,1,19.0308959,6133.857992,36.27569497,,,46.159,8.171,28.116,7.506,,57,0.12,0
c5536b7f82862fe798ae91cd4b4a8a2df049d06a,0,28.854113,0,0,,,84.314,8.851,56.603,15.277,,100,0.4,1
18e36386a232ca7e31931bd1d51b91a7eadcf72c,0,3.741714355,0,0,,,27.093,8.263,13.619,3.526,,5,0,1
b0024d482050a08efc36c3cabee37c0af0e57a10,2,18.46264091,408.4167068,22.12790771,,,44.454,8.197,26.695,6.975,,12,26.22,0
04697739edb6b60ecdbcccbfeb4e787728674942,0,50.44953584,0,0,,,27.164,8.157,13.953,3.619,,194,0,1
19849509da2a483ba0a8543606a3b570b7ec5c68,0,4.623220583,0,0,,,27.468,8.366,13.752,3.566,,12,0,1
23d13f5c3d7fcf810662c31d147c470e4263fe55,0,91.8289441,0,0,,,28.888,8.234,15.386,3.805,,49,0,1
3d9587caec7dd23d359bc112c63512e2bc3e0702,4,83.67581109,5310.585657,27.88767902,,,25.677,8.187,12.662,3.346,,11,27.2,0
4f17a89ad04bcf718aeac43d202f8c261ce0b796,10,92.02975664,4345.024628,26.68439299,,,25.422,8.285,11.822,3.991,,57,0,1
