Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
731a2893803ab57f3eef2e5ac9e02fcd0aa8214d,1,40.93988995,0,20.68669063,,,22.837,2.757,14.493,3.719,,43,0,1
a5bfc15a43a708a6eadac3b65e1745a1b122bc8e,2,1.168916238,0,38.02855642,,,22.832,2.682,14.534,3.704,,15,45.862,0
041d0287331033bcbe2e749a95397fde26d0d426,4,675.5177546,0,82.07698477,,,23.298,2.672,14.846,3.794,,165,0,1
fc71aa2ef3ea82461cbf10bc9c32c584b6e4fa99,1,43.40364607,0,0,,,22.591,2.769,14.645,3.755,,19,0,1
bd02fb6b923c054726f801cf9bfa0507e6c2f369,1,0.333,0,10.16805108,,,22.451,2.653,14.615,3.755,,1,0.04,0
814c5eab3f746b40b44c430e2585ea9e98e67adb,2,15.84822921,0,9.82129978,,,22.585,2.743,14.645,3.761,,5,7.3,0
b96fa91313cae6ebe11e799c94ec1115f93e1b33,6,1384.068319,0,75.93626959,,,23.317,2.782,14.8,3.716,,151,0,1
1900a67fb694c655542350cba444fef85aa2121e,2,118.0002797,52973.84829,41.30674718,,,41.238,2.729,27.612,6.93,,416,0.4,0
812ea8f5150124756c991632ead795202e72197d,4,1817.090537,178260.828,160.3790018,,,58.299,2.727,41.4,10.443,,24343,69.42,1
3b775f6f6a8d4a27aabafea7476084dd5b171a3d,4,492.9740013,139017.2728,174.6093832,,,43.849,2.632,29.406,7.211,,203,23.192,1
4cda015b5e088dd0d187c507e1982bbb9ee37dba,3,137.598534,166545.1192,78.85782836,,,59.939,2.583,42.298,10.555,,108,14.1,1
cd8911a70c6af6284e7e13113369829c218b6972,3,480.5582667,0,11.15261642,,,41.175,2.594,29.195,7.247,,15,33.84,1
6491f51f4c165c1e9e2fcaf2a4d536c4b3955834,2,6.429014697,0,22.83114404,,,22.378,2.563,14.548,3.718,,28,0,1
36408526edf8a6910ea5fbabe168aa0f1d039938,1,0.303,0,0,,,22.353,2.618,14.632,3.691,,10,0,1
3a28d286a709028aaa2232f3664ee189edce3ca9,1,0.304,0,0,,,22.371,2.568,14.627,3.743,,11,0,1
ab1397a500a21412f18d9da43c37646392158d3f,1,4.767611079,0,15.15468834,,,22.361,2.603,14.536,3.666,,3,0.021,0
7a90d9875a9f86611dfc415d276f8386a8659f03,1,6.046034336,0,0,,,22.268,2.606,14.604,3.658,,12,0,1
8a4c5a37df3bdd3a489c04a536f1b695831fab7f,1,31.00002802,34.6916139,45.02574581,,,46.788,3.318,30.491,8.327,,24,0.2,1
90959a095abeb7950dd27224fc0f9a0446f8061b,1,10.20605779,0,0,,,19.893,2.575,12.475,3.265,,2,4,0
77dd4b425e8d511819960a1827994ccab2f95e4e,2,1.103,0,0,,,54.747,2.544,39.149,10.376,,24,0,1
c476f024e1f2e7361877f7814a1d6a3db597ee82,1,0.303,0,55.52322238,,,21.96,2.575,14.243,3.66,,30,0,1
c0c8fb3dfea13a16e11211c7c5d67741dbf07f80,1,134.0744778,0,28.83929969,,,21.877,2.528,14.202,3.65,,13,0,1
0cae8c664df58dca21d8e415a103ab301a81f041,1,5.241833593,0,20.5123102,,,22.782,2.547,14.561,3.74,,9,0.04,0
66da516386b470693cf7bcbac738ba913072d04e,1,0.303,0,50.38472024,,,21.976,2.559,14.251,3.622,,16,0.8,0
0721684648e6856c1e9d59afd5570b6beeb4fe39,1,3.500498451,0,20.46548658,,,22.578,2.564,14.512,3.624,,6,0.04,0
8c1a2483453a22012f7f2b6ffe45efed1853d6ff,1,6.450627229,0,0,,,21.993,2.571,14.438,3.57,,39,0,1
c6d7168bd8d3d3232ffecf8bb064572dccd5657d,4,780.9795142,0,13.65620367,,,45.018,2.662,33.028,7.375,,64,25.732,1
0c29ac3a1f030db55fbc78796516251f9c9c608c,2,241.1417852,3748.492259,27.20372585,,,20.229,2.896,12.424,3.432,,35,0,1
4692d2b62a19cd649b93c6f155544f5f5630d842,2,66.39873113,0,13.59751793,,,23.177,2.656,15.151,3.803,,15,0,1
eff5266a54065144f316e3e8d66c63192e4af6d5,3,23.61395221,0,34.6389492,,,23.135,2.718,15.083,3.711,,35,0,1
d92c25ac64cc371a447692731233479ca98b31af,3,923.2846682,158812.8749,141.9550402,,,41.589,2.773,29.521,7.028,,58,14.2,0
0c14b25f200a6854a5912a64ff3db000b3a66158,6,562.29866,19266.7792,92.14240698,,,57.876,2.594,40.681,10.409,,312,0.2,1
34bf87ee58e6856266006051eb7e6d7d179986f0,4,220.4676085,7841.671536,59.0147162,,,65.875,2.41,47.753,12.996,,132,0.02,1
0cbef20602226e8591e5d6aa39b6ac5a5a6daa1b,8,263.4779327,5777.054216,132.1190739,,,49.555,2.798,34.662,9.438,,2059,18,1
740556589adb94d0af97e017850a945f474cff8d,3,103.7216407,0,14.66801564,,,3.259,2.271,0.001,0.0,,6,14.1,0
9ce2be1fc28de3708fc84858dd51d56e022e1c30,6,717.0189229,0,95.10393148,,,23.753,2.297,14.266,3.583,,171,0,1
20ed13cd7aa90f4fd88711feee6f064bb108a9b7,2,1.503079288,0,9.904039492,,,20.501,2.283,13.006,3.476,,29,0,1
5082cd05fef5baa24e905cb2d701f8c0939610d7,2,2.010474956,708.3241632,12.15642168,,,19.322,2.307,12.222,3.366,,15,2.392,0
1feed287dfc441d432fd75a9a0b08280d1d46d84,1,1.916929023,0,0,,,19.357,2.314,12.235,3.391,,8,0,1
5db46c8c73c1331465f512dbc59ca0677759b6c5,1,5.648697195,0,9.639325052,,,22.376,2.32,13.925,3.605,,8,0.04,0
b7b204cc21639062135fd14417d8eda567b70d89,1,42.38179789,0,9.684783357,,,22.548,2.314,14.104,3.587,,8,6.53,0
46ed2ce15e6377c989e0bbc0fd6e4cb203bcd639,1,27.84941555,0,13.12951692,,,22.356,2.361,14.056,3.617,,2,2.33,0
b341fce6eaa780cd1ea096c57a04becaa0ba22ff,1,2.723434955,0,13.11746581,,,22.157,2.282,14.044,3.52,,3,0.02,0
ceecf0ee7dd7218ec2281589f118e61b93f94183,1,29.87750872,0,13.07187931,,,22.141,2.336,13.985,3.518,,2,4.8,0
55859e425e61854ced1b12727208bf34f012eea0,1,1.416111824,0,10.51458883,,,22.375,2.261,14.006,3.552,,1,5.11,0
f4002b84e7f6c0f336e49141e1e221b1e9043adb,1,0.303,0,0,,,22.099,2.249,14.25,3.551,,4,0,1
9283b74770fa03875b08f3f4a89f2ad397c98e1a,5,194.5962148,0,76.31344243,,,21.93,2.225,13.764,3.563,,101,21.6,1
e46ed7dc654ed8579d6d1556a8d1e08e107ae939,3,718.2472544,0,19.48840553,,,21.605,2.239,13.77,3.808,,57,16.37181818,0
29c3d2d620c576fb8cad18798ed5ef32a43c8e27,2,196.8868282,0,11.17399588,,,21.547,2.232,13.554,3.527,,18,5.12,0
63068ef85280c15243a37821981ccbc5c5277f22,1,19.80739734,0,19.32814615,,,22.516,2.247,14.014,3.627,,1,10.1,0
9e2ebcd71da40965171fae82a4adef393a369b95,2,114.1074258,0,56.14996406,,,22.552,2.214,14.051,3.603,,28,0,1
e3ce9a1ad8eaf38405ccf01ff5729dc4a171468f,2,285.2803777,0,11.2126295,,,21.509,2.208,13.547,3.508,,11,0,1
8af3b4c0a269db99c09313c076b154de7a09b184,2,285.2803777,0,11.2126295,,,21.45,2.202,13.537,3.466,,11,0,1
c3745c4219b6d8418432c2ea8512bb17472780d1,3,97.98097824,0,44.81745874,,,57.505,2.21,40.582,10.485,,40,0,1
a817ab95a087561541b9513caf986de1c5b2efc6,4,97.98097824,0,44.81745874,,,57.72,2.207,40.659,10.616,,40,0,1
79019d2c66e725b1fb0595c92d5f2331c9b5a575,7,514.3354985,0,148.243688,,,57.394,2.208,40.568,10.393,,276,0,1
ad9c69f377e1056c18273866eab3973e05afcec4,4,246.7738564,0,43.46333236,,,57.722,2.156,40.742,10.591,,63,31.52,1
f37d774f90fabb6afd268b0a4912edd4afe88e07,6,514.3354985,0,148.243688,,,57.834,2.234,40.689,10.634,,276,0,1
931dc52788e8ae5db850068c64a2f3acfb0b2b03,4,246.7738564,0,43.46333236,,,58.078,2.202,40.667,10.941,,67,31.52,1
6086508ddc61b1e3677fb6664c5a78d03286ec57,2,65.13317489,0,13.55125512,,,21.721,2.237,13.805,3.539,,2,9,0
2aca8431bbeb324531d6ddc99b1998b35307fb55,2,65.13317489,0,13.55125512,,,21.638,2.165,13.83,3.531,,2,9,0
13714f7f99a09c979947feadbf99e81e961fc388,1,0.303,0,0,,,21.657,2.152,13.924,3.527,,4,0,0
0d49b4704debd8a561926b26fa18d658774e98e1,1,0.303,0,0,,,21.604,2.132,13.885,3.567,,4,0,0
a1cbc9dd987aa1a599a8f7ba0547b30c02a8bdb1,3,1.625538244,0,23.43959433,,,21.823,2.124,13.995,3.562,,17,0,1
701579fd3d04bca40ff446ee12f2198f2dff75b8,2,1.625538244,0,23.43959433,,,21.612,2.123,13.825,3.549,,17,0,1
d60d88dd936564124f1a69a909b5935bacf13713,1,0.303,0,0,,,38.944,2.167,27.003,7.07,,8,0,1
034a25ab725c5c08a9a2070376ac2039af255592,2,2.553383999,0,17.83590681,,,57.286,2.159,40.438,10.577,,17,0,1
a661fe800fd068ccab8e8e0d3aa06124961cf576,1,0.303,0,0,,,38.938,2.14,27.007,7.076,,8,0,1
93a78f5bcfd62ce2eab80a0ddadcc089884253bf,2,2.553383999,0,17.83590681,,,57.316,2.094,40.507,10.563,,17,0,1
d2c28a5053be5c1f214c4ae44c2134a72af1b019,1,1.600043943,0,55.4367645,,,21.302,2.158,13.501,3.526,,46,0.4,1
804be00c02f0539ccbe9bd8331a0d96967a7cc14,1,1.600043943,0,55.4367645,,,23.343,3.852,13.831,3.522,,46,0.4,1
4f5d14e3d930c074e2bf78267041131e4938d0b9,1,31.66652441,0,43.32492175,,,3.273,2.226,0.001,0.0,,50,0.22,0
7e4d84408e95aed110b7a34364b29be12069831b,1,31.66652441,0,43.32492175,,,3.175,2.14,0.001,0.001,,49,0.22,0
7cce8cb29d76e6642e65d67a44f647c20d80bbb7,1,2.010900613,0,52.79219784,,,21.265,2.128,13.461,3.526,,33,0,1
