Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
2f23f937caed2d721cf0efa7e58ef3d95e3dc554,0,68.54570907,0,0,,,20.623,4.947,11.16,3.148,,20,0,1
66352c90db74be60cc4419df7bd3b3b7fe9f26c3,0,12.8665699,0,0,,,42.275,4.815,28.277,7.288,,12,0.4,1
33365fd2069bbda9fe3f51d64b360fd09495c489,0,205.2981968,0,0,,,306.935,5.421,231.539,60.616,,180,0.8,1
a346cb0623738c62b8bec7b00ec46524c6cf1f71,1,1.27677836,1.844221521,9.611769025,,,26.646,4.97,16.242,3.898,,3,1,0
b539675db2dee277830c748434edfeb5b3b482a3,4,256.0206647,2643.229924,16.9253922,,,26.338,4.884,16.039,3.905,,24,12.16666667,0
5e2222f14fb7426a10e5e7382e270e85fec687f9,1,0.303,1.843355088,10.87901314,,,25.102,4.922,15.011,3.675,,3,0.2,0
360c83b02a34e98c9f406a4a3f4618e3e9327c45,1,29.27167506,48.94336151,104.580019,,,144.255,4.898,105.489,28.002,,45,7,0
0d8882e434a8f11ceefc6f4a697164c14fa04a09,0,0.417030308,9.210551174,8.090205471,,,21.996,4.77,12.394,3.375,,3,0,0
8a87f462736eabe0ac516ebf0ab0ef06aa22f49f,1,1201.10732,6166.362766,39.27797462,,,58.081,4.846,39.096,10.433,,16,0,1
0bf316211d17fc0694511baa202704fc3a204c02,1,174.598552,2276.091819,38.04437306,,,24.276,4.921,14.2,3.697,,30,0,1
d4175bf41bfbd706aa298433d8fe3e2fa22cc8d2,3,28.08122769,384.3233641,11.54532642,,,20.614,4.878,11.24,3.173,,44,37.5625,0
c3e4d1acb1d068e31f874611dd7210a78ad248ba,0,17.2350394,0,0,,,22.624,4.899,12.804,3.422,,16,0,1
ae3f40da41ef92ccfd8a39017385d3ef9ba106cf,2,130.4031568,1450.646917,65.49579109,,,24.167,4.809,14.175,3.724,,28,0,1
f1dea18e64fdc668ff51728377452cca93f8356c,2,775.333877,65688.01265,224.5164019,,,115.961,4.862,83.474,21.475,,53,85.02,0
770c4709fc729591b6de5cbb2c4981fbaa6b0622,5,350.511251,7409.610754,44.10983037,,,39.501,4.838,25.454,6.889,,33,15.5,1
d987abc9515458ccd6da3a279ef8fd4b0f9dd23a,3,214.8121186,599.3895896,25.94499196,,,21.789,4.87,12.127,3.369,,6,25.004,0
2f903e46dfd4d78f54f11774b9564bde49938d3e,2,31.56972312,1710.455414,10.07564356,,,22.763,4.83,12.805,3.458,,4,0,1
74b2ea29d868516096fc1689994ac9e676001596,1,0.24,140.6005948,29.37341778,,,22.668,4.83,12.686,3.464,,12,2.384,0
